Name,Category,Address,Contact Name,Contact Email,Contact Phone Number,Creative Schools Certification,Network
John Whistler Elementary School,Elementary School,"11533 S Ada St, Chicago, IL, 60643",Yuvanny Catalan,ycatalan2@cps.edu,(773) 535-5560,Strong,Network 13
Socorro Sandoval Elementary School,Elementary School,"5534 S Saint Louis Ave, Chicago, IL, 60629",Jennifer Price,JAPrice@cps.edu,(773) 535-0457,Excelling,Network 8
Eli Whitney Elementary School,Elementary School,"2815 S Komensky Ave, Chicago, IL, 60623",Lucila Saldana,lsaldana2@cps.edu,(773) 534-1560,Strong,Network 7
John Greenleaf Whittier Elementary School,Elementary School,"1900 W 23rd St, Chicago, IL, 60608",Charles Lunsford,clunsford@cps.edu,"",Strong,Network 7
A.N. Pritzker School,Elementary School,"2009 W Schiller St, Chicago, IL, 60622",Jenai Jenkins,jnjenkins@cps.edu,(773) 534-4415,Excelling,Network 6
Wildwood Elementary School,Elementary School,"6950 N Hiawatha Ave, Chicago, IL, 60646",Daniel Moore,djmoore31@cps.edu,(773) 534-1188,Excelling,Network 1
National Teachers Elementary Academy,Elementary School,"55 W Cermak Rd, Chicago, IL, 60616","",,"",Excelling,Network 6
Richard Yates Elementary School,Elementary School,"1839 N Richmond St, Chicago, IL, 60647",Elizabeth Rose,egonzalez214@cps.edu,(773) 534-4550,Excelling,Network 5
Ella Flagg Young Elementary School,Elementary School,"1434 N Parkside Ave, Chicago, IL, 60651",Michele Sellers,mlsellers@cps.edu,(773) 534-6200,Emerging,Network 3
Ludwig Van Beethoven Elementary School,Elementary School,"25 W 47th St, Chicago, IL, 60609",Karen Walls,kkwalls@cps.edu,(312) 544-9935,Developing,Network 9
Carrie Jacobs Bond Elementary School,Elementary School,"7050 S May St, Chicago, IL, 60621",Tracy Sobut,tsobut@cps.edu,(773) 535-3477,Incomplete Data,Network 11
Richard J Daley Elementary Academy,Elementary School,"5024 S Wolcott Ave, Chicago, IL, 60609",Ana Galan,amgalan1@cps.edu,(773) 535-9091,Developing,Network 8
Joseph Brennemann Elementary School,Elementary School,"4251 N Clarendon Ave, Chicago, IL, 60613",Edward Foss,evfoss@cps.edu,"",Strong,Network 2
Michele Clark Academic Prep Magnet High School,High School,"5101 W Harrison St, Chicago, IL, 60644",Adam Tafoya,actafoya@cps.edu,(773) 534-6250,Strong,ISP
Frederick A Douglass Academy High School,High School,"543 N Waller Ave, Chicago, IL, 60644",Anne OMalley,AMOmalley@cps.edu,(773) 534-6176,Excelling,Network 15
Edward Beasley Elementary Magnet Academic Center,Elementary School,"5255 S State St, Chicago, IL, 60609",Melissa Alexander,malexander4@cps.edu,(773) 535-1230,Excelling,Network 9
Chicago Academy Elementary School,Elementary School,"3400 N Austin Ave, Chicago, IL, 60634",Heather Walters,hawalters@cps.edu,(312) 860-1163,Strong,Network 1
Talman Elementary School,Elementary School,"5450 S Talman Ave, Chicago, IL, 60632",Maricela Sanchez,MSanchez7@cps.edu,(773) 535-7850,Emerging,Network 8
Ruben Salazar Elementary Bilingual Center,Elementary School,"160 W Wendell St, Chicago, IL, 60610",Leticia Ortega,laortega5@cps.edu,(773) 534-8310,Excelling,ISP
Willa Cather Elementary School,Elementary School,"2908 W Washington Blvd, Chicago, IL, 60612",Dominique Hamilton,dhamilton@cps.edu,(773) 534-6780,Developing,Network 5
Robert Nathaniel Dett Elementary School,Elementary School,"2131 W Monroe St, Chicago, IL, 60612","",,"",Developing,Network 6
Dvorak Technology Academy,Elementary School,"3615 W 16th St, Chicago, IL, 60623",Jennifer Grubczak,jgrubczak@cps.edu,(630) 765-2207,Strong,Network 7
Jackie Robinson Elementary School,Elementary School,"4225 S Lake Park Ave, Chicago, IL, 60653",Anita Hill,ahill2@cps.edu,(773) 535-1777,Excelling,Network 9
Morton School of Excellence,Elementary School,"431 N Troy St, Chicago, IL, 60612",Jonathan Hearon,jehearon@cps.edu,(312) 852-4368,Excelling,Network 5
John Foster Dulles Elementary School,Elementary School,"6311 S Calumet Ave, Chicago, IL, 60637","",,"",Incomplete Data,Network 9
Arthur R Ashe Elementary School,Elementary School,"8505 S Ingleside Ave, Chicago, IL, 60619","",,"",Strong,Network 12
John T McCutcheon Elementary School,Elementary School,"4865 N Sheridan Rd, Chicago, IL, 60640",Janet Carag,jpcarag1@cps.edu,(773) 534-2680,Excelling,Network 2
Jensen Elementary Scholastic Academy,Elementary School,"3030 W Harrison St, Chicago, IL, 60612",Jamie Schoffstall,jlschoffstal@cps.edu,(630) 803-7815,Strong,Network 5
James Weldon Johnson Elementary School,Elementary School,"1420 S Albany Ave, Chicago, IL, 60623",Christopher Cvengros,Ccvengros@cps.edu,"",Excelling,Network 5
Irvin C Mollison Elementary School,Elementary School,"4415 S Dr Martin L King Jr Dr, Chicago, IL, 60653",Vondietra Butler,vbutler@cps.edu,(773) 535-1804,Strong,Network 9
Henry O Tanner Elementary School,Elementary School,"7350 S Evans Ave, Chicago, IL, 60619",Charles Plesant,cpleasant@cps.edu,(773) 535-3870,Strong,Network 12
Adam Clayton Powell Paideia Community Academy ES,Elementary School,"7511 S South Shore Dr, Chicago, IL, 60649",Meghan Rose,mrmclaughlin@cps.edu,(312) 287-8236,Excelling,Network 12
Ronald E McNair Elementary School,Elementary School,"4820 W Walton St, Chicago, IL, 60651",Alison Schorsch,aaschorsch@cps.edu,"",Incomplete Data,Network 3
New Field Elementary School,Elementary School,"1707 W Morse Ave, Chicago, IL, 60626",Cathleen Andes,cmcurtinandes@cps.edu,(773) 534-2760,Excelling,Network 2
Ashburn Community Elementary School,Elementary School,"8300 S St Louis Ave, Chicago, IL, 60652",Kristin Atkins,kysmith@cps.edu,(773) 535-7860,Excelling,Network 10
Benjamin E Mays Elementary Academy,Elementary School,"6656 S Normal Blvd, Chicago, IL, 60621",Sharon Mason,slmason1@cps.edu,(773) 710-8917,Excelling,Network 11
Richard Henry Lee Elementary School,Elementary School,"6448 S Tripp Ave, Chicago, IL, 60629","",,"",Excelling,ISP
Genevieve Melody Elementary School,Elementary School,"3937 W Wilcox St, Chicago, IL, 60624",Amanda Hassan,aplarabee1@cps.edu,"",Emerging,Network 5
Thomas J Higgins Elementary Community Academy,Elementary School,"11710 S Morgan St, Chicago, IL, 60643",Stephanie Osborne,smosborne@cps.edu,"",Excelling,Network 13
Lenart Elementary Regional Gifted Center,Elementary School,"8101 S Lasalle St, Chicago, IL, 60620",Jacob Delgado,jdelgado209@cps.edu,(773) 535-0040,Strong,Network 11
Dr Martin L King Jr Academy of Social Justice,Elementary School,"644 W 71st St, Chicago, IL, 60621",Georgina Tisdale,gtisdale@cps.edu,(773) 600-3359,Emerging,Network 11
Oliver S Westcott Elementary School,Elementary School,"409 W 80th St, Chicago, IL, 60620",Sarah Simanskey,Sesimanskey@cps.edu,(773) 547-6595,Emerging,Network 11
Phoenix Military Academy High School,High School,"145 S Campbell Ave, Chicago, IL, 60612",Daniel McElgunn,djmcelgunn@cps.edu,(248) 722-9531,Excelling,ISP
George Leland Elementary School,Elementary School,"512 S Lavergne Ave, Chicago, IL, 60644","",,"",Developing,Network 3
Wilma Rudolph Elementary Learning Center,Elementary School,"1628 W Washington Blvd, Chicago, IL, 60612",Anna Waldron,afwaldron@cps.edu,(773) 456-3978,Excelling,Network 6
Mary E McDowell Elementary School,Elementary School,"1419 E 89th St, Chicago, IL, 60619",Vince Davis,vdavis12@cps.edu,(773) 535-6404,Emerging,ISP
Jose de Diego Elementary Community Academy,Elementary School,"1313 N Claremont Ave, Chicago, IL, 60622",Wilma Rodriguez,wirodriguez@cps.edu,"",Excelling,Network 5
Edward White Elementary Career Academy,Elementary School,"1136 W 122nd St, Chicago, IL, 60643",Maya Sadder,MAMorrison@cps.edu,(773) 535-5671,Incomplete Data,Network 13
Amelia Earhart Options for Knowledge ES,Elementary School,"1710 E 93rd St, Chicago, IL, 60617",Krystal Grover Webb,kjgrover-webb@cps.edu,(000) 000-0000,Excelling,Network 12
Brighton Park Elementary School,Elementary School,"3825 S Washtenaw Ave, Chicago, IL, 60632",Lara Spyer,lspyer@cps.edu,(773) 322-6567,Excelling,Network 8
Evergreen Academy Middle School,Middle School,"3537 S Paulina St, Chicago, IL, 60609",Alora Scofield,arscofield@cps.edu,(678) 333-8539,Strong,Network 8
Bowen High School,High School,"2710 E 89th St, Chicago, IL, 60617",Latrell Walton,llwalton3@cps.edu,(630) 518-0386,Strong,Network 17
Avondale-Logandale Elementary School,Middle School,"3212 W George St, Chicago, IL, 60618",David Williams,djwilliams60@cps.edu,(773) 534-5350,Excelling,Network 4
Orozco Fine Arts & Sciences Elementary School,Elementary School,"1940 W 18th St, Chicago, IL, 60608",Charles Koltak,cwkoltak@cps.edu,(313) 575-5752,Strong,Network 7
Al Raby High School,High School,"3545 W Fulton Blvd, Chicago, IL, 60624","",,"",Emerging,Network 15
Amos Alonzo Stagg Elementary School,Elementary School,"7424 S Morgan St, Chicago, IL, 60621",Gwendolyn McElmurry,gmmcelmurry@cps.edu,(773) 535-3565,Emerging,Network 11
Chicago Academy High School,High School,"3400 N Austin Ave, Chicago, IL, 60634",Brian Mead,bdmead@cps.edu,"",Strong,Network 14
Albert R Sabin Elementary Magnet School,Elementary School,"2216 W Hirsch St, Chicago, IL, 60622",Gladys Lambert,gagranados@cps.edu,(773) 534-4491,Strong,Network 6
Carter G Woodson South Elementary School,Elementary School,"4414 S Evans Ave, Chicago, IL, 60653",David Rimmer,darimmer@cps.edu,(773) 535-1280,Strong,Network 9
Claremont Academy Elementary School,Elementary School,"2300 W 64th St, Chicago, IL, 60636",Emma Vanderheyden,elvanderheyd@cps.edu,(773) 535-8110,Strong,Network 10
Robert A Black Magnet Elementary School,Elementary School,"9101 S Euclid Ave, Chicago, IL, 60617",Venita Abrams,vmabrams@cps.edu,(773) 535-6390,Strong,Network 12
Durkin Park Elementary School,Elementary School,"8445 S Kolin Ave, Chicago, IL, 60652",Laura Kelly,lmkelly@cps.edu,(773) 535-2322,Excelling,Network 10
Calmeca Academy of Fine Arts and Dual Language,Elementary School,"3456 W 38th St, Chicago, IL, 60632",John Caliban,jjcaliban@cps.edu,(312) 887-9905,Developing,Network 8
North River Elementary School,Elementary School,"4416 N Troy St, Chicago, IL, 60625",Elizabeth Burchfield,ejburchfield@cps.edu,(847) 239-0131,Strong,Network 1
Mary E Courtenay Elementary Language Arts Center,Elementary School,"4420 N Beacon St, Chicago, IL, 60640",Peter Stover,pstover1@cps.edu,"",Strong,Network 2
Spry Community Links High School,High School,"2400 S Marshall Blvd, Chicago, IL, 60623",Olivia Scheidler,oscheidler1@cps.edu,(773) 534-1997,Emerging,Network 16
Medgar Evers Elementary School,Elementary School,"9811 S Lowe Ave, Chicago, IL, 60628",Timothy Maynie,tlmaynie@cps.edu,(773) 329-1523,Excelling,Network 11
Walt Disney Magnet Elementary School,Elementary School,"4140 N Marine Dr, Chicago, IL, 60613",Krystal Moreno,kakorth@cps.edu,(773) 534-5840,Excelling,Network 2
William E B Dubois Elementary School,Elementary School,"330 E 133rd St, Chicago, IL, 60827",Kelly Flowers,krflowers@cps.edu,"",Emerging,Network 13
Charles H Wacker Elementary School,Elementary School,"9746 S Morgan St, Chicago, IL, 60643",Ekaterini Panagakis,eapanagakis@cps.edu,(773) 553-2821,Emerging,ISP
Oscar DePriest Elementary School,Elementary School,"139 S Parkside Ave, Chicago, IL, 60644",Victoria Perry,vrperry1@cps.edu,(773) 991-4016,Strong,Network 3
Langston Hughes Elementary School,Elementary School,"240 W 104th St, Chicago, IL, 60628",Katherine Courtenay,kmcourtenay@cps.edu,(773) 535-7250,Excelling,Network 13
Mahalia Jackson Elementary School,Elementary School,"917 W 88th St, Chicago, IL, 60620",Tracey Redmond,tredmond@cps.edu,"",Emerging,Network 11
Daniel Hale Williams Prep School of Medicine,High School,"4934 S Wabash Ave, Chicago, IL, 60615",Jayme Adams,jadams88@cps.edu,"",Strong,Network 17
Bronzeville Scholastic Academy High School,High School,"4934 S Wabash Ave, Chicago, IL, 60615",Margaret Mask,mkmask@cps.edu,(773) 535-1150,Strong,Network 17
Greater Lawndale High School For Social Justice,High School,"3120 S Kostner Ave, Chicago, IL, 60623",Guadalupe Moreno,gemoreno1@cps.edu,"",Strong,Network 15
Infinity Math Science and Technology High School,High School,"3120 S Kostner Ave, Chicago, IL, 60623",Labeeba Samayoa,lhameed@cps.edu,(773) 535-4281,Excelling,Network 15
Multicultural Arts High School,High School,"3120 S Kostner Ave, Chicago, IL, 60623",Edward Cisneros,cedward@cps.edu,(773) 535-4247,Excelling,Network 15
Peace & Education Coalition High School,High School,"4946 S Paulina St, Chicago, IL, 60609",Juana Duran,jcduran5@cps.edu,(773) 510-2364,Strong,Options
Orr Academy High School,High School,"730 N Pulaski Rd, Chicago, IL, 60624","",,"",Incomplete Data,Network 15
Hyman G Rickover Naval Academy High School,High School,"5700 W Berteau Ave, Chicago, IL, 60634",Amanda Chilenski,acchilenski@cps.edu,(614) 537-6483,Strong,ISP
Robert Lindblom Math & Science Academy HS,High School,"6130 S Wolcott Ave, Chicago, IL, 60636",Melissa Gerleve,mfgerleve@cps.edu,(773) 535-9300,Excelling,Network 16
World Language Academy High School,High School,"3120 S Kostner Ave, Chicago, IL, 60623",Paula Matela,pematela@cps.edu,(773) 535-4334,Strong,Network 15
Uplift Community High School,High School,"900 W Wilson Ave., Chicago, IL, 60640",Csilla Kosa,cakosa1@cps.edu,(773) 534-2875,Excelling,Network 14
Tarkington School of Excellence ES,Elementary School,"3330 W 71st St, Chicago, IL, 60629","",,"",Emerging,Network 10
DeVry University Advantage Academy HS,High School,"1900 W Lawrence Ave, Chicago, IL, 60640",Ryan Durling,rdurling1@cps.edu,(773) 697-2216,Strong,Network 14
Suder Montessori Magnet ES,Elementary School,"2022 W Washington Blvd, Chicago, IL, 60612","",,"",Strong,Network 6
Collins Academy STEAM High School,High School,"1313 S Sacramento Dr, Chicago, IL, 60623",Krystal Isler,kisler@cps.edu,(941) 586-5948,Excelling,Network 15
Frazier Prospective IB Magnet ES,Elementary School,"4027 W Grenshaw St, Chicago, IL, 60624",Christen Martin,cmartin29@cps.edu,(708) 296-3771,Excelling,ISP
Velma F Thomas Early Childhood Center,Elementary School,"3625 S Hoyne Ave, Chicago, IL, 60609",Giselle Sanchez Santiago,gmsanchezsantiago@cps.edu,(773) 535-4088,Excelling,ISP
Air Force Academy High School,High School,"3630 S Wells St, Chicago, IL, 60609",Teneisha Huley,thuley1@cps.edu,"",Developing,Network 16
Disney II Magnet School,Elementary School,"3815 N Kedvale Ave, Chicago, IL, 60641",Kate Dube,kdube@cps.edu,"",Excelling,Network 14
Austin College and Career Academy High School,High School,"231 N Pine Ave, Chicago, IL, 60644",LaDonna Myers,lkmyers@cps.edu,(773) 534-0660,Developing,Network 15
LaSalle II Magnet Elementary School,Elementary School,"1148 N Honore St, Chicago, IL, 60622",Tara Tingley,tdtingley@cps.edu,(773) 534-0490,Strong,ISP
Sir Miles Davis Magnet Elementary Academy,Elementary School,"6740 S Paulina St, Chicago, IL, 60636",Kimberly Simon,Kjsimon@cps.edu,(773) 535-9120,Emerging,ISP
Edison Park Elementary School,Elementary School,"6220 N Olcott Ave, Chicago, IL, 60631",Ben Arvan,bcarvan@cps.edu,(773) 534-0960,Excelling,Network 1
Louisa May Alcott College Preparatory HS,High School,"2957 N Hoyne Ave, Chicago, IL, 60618",Elizabeth Czekner,emczekner@cps.edu,(773) 534-5970,Excelling,Network 15
Ogden International High School,High School,"1250 W Erie St, Chicago, IL, 60642",Lindsey Nordmark,lbnordmark@cps.edu,(773) 534-0866,Excelling,Network 15
South Shore Fine Arts Academy,Elementary School,"1415 E 70th St, Chicago, IL, 60637",Maya ONeal,mjoneal@cps.edu,(773) 535-8340,Strong,Network 12
Irene C Hernandez Middle School for the Advancement of the Sciences,Middle School,"3510 W 55th St, Chicago, IL, 60632",Heidi Farrand,hlfarrand@cps.edu,(773) 535-8850,Developing,Network 8
Dr Jorge Prieto Math & Science,Elementary School,"2231 N Central Ave, Chicago, IL, 60639",Brook Dill,blbitely@cps.edu,(773) 344-1142,Excelling,Network 3
Skinner North Classical School,Elementary School,"640 W Scott St, Chicago, IL, 60610",Sarah Willett,swglynn1@cps.edu,"",Excelling,Network 4
Marvin Camras Elementary School,Elementary School,"3000 N Mango Ave, Chicago, IL, 60634",Dorota Suchocka,dsuchocka@cps.edu,(773) 988-6996,Strong,ISP
Federico Garcia Lorca Elementary School,Elementary School,"3231 N Springfield Ave, Chicago, IL, 60618",Ivette Gonzalez,igonzalez19@cps.edu,"",Excelling,Network 4
West Ridge Elementary School,Elementary School,"6700 N Whipple St, Chicago, IL, 60645",Zachary Maybaum,zmmaybaum@cps.edu,(773) 534-8250,Excelling,ISP
Eric Solorio Academy High School,High School,"5400 S St Louis Ave, Chicago, IL, 60632",Andrew Sons,adsons@cps.edu,(708) 207-0969,Excelling,Network 15
Mariano Azuela Elementary School,Elementary School,"4707 W Marquette Rd, Chicago, IL, 60629",Haleigh Willingham,hwillingham3@cps.edu,(773) 535-7395,Developing,Network 10
South Shore Intl College Prep High School,High School,"1955 E 75th St, Chicago, IL, 60649",Marigold Perry,magoetz@cps.edu,(708) 256-9268,Excelling,Network 17
STEM Magnet Academy,Elementary School,"1522 W Fillmore St, Chicago, IL, 60607",Lindsay McGrane,Lecarlson@cps.edu,(773) 534-7300,Excelling,ISP
Pathways in Education - Ashburn,High School,"3284 W 87th St, Chicago, IL, 60652",Meghan Morrison,mmorrison@pathwaysedu.org,(773) 434-6300,Emerging,Options
Sarah E Goode STEM Academy,High School,"7651 S Homan Ave, Chicago, IL, 60652",Kelly McCollom,kcogden@cps.edu,(708) 308-4929,Strong,Network 16
James Shields Middle School,Middle School,"2611 W 48th St, Chicago, IL, 60632",Francisco Nuno,flnuno@cps.edu,(773) 526-1458,Excelling,Network 8
Richard T Crane Medical Preparatory HS,High School,"2245 W Jackson Blvd, Chicago, IL, 60612",Ryan Morris,rcmorris@cps.edu,(312) 206-3921,Developing,Network 15
Back of the Yards IB HS,High School,"2111 W 47th St, Chicago, IL, 60609",Madilyn Strentz,masoch@cps.edu,"",Excelling,Network 16
Disney II Magnet High School,High School,"3900 N Lawndale Ave, Chicago, IL, 60618",Iliana Rzodkiewicz,ihrzodkiewicz@cps.edu,(773) 534-5027,Strong,Network 14
Excel Academy of Englewood,High School,"7141 S Morgan, Chicago, IL, 60621",Brandon Love,brandon.love@sesischools.com,(773) 675-6654,Excelling,Options
Pathways in Education Avondale,High School,"3100 W Belmont Ave, Chicago, IL, 60618",Andrew Vickers,andrewvickers@pathwaysedu.org,(443) 523-5143,Developing,Options
Ombudsman - Chicago Northwest,High School,"7500 N Harlem Ave, Chicago, IL, 60631",Dona Slowik,dona.slowik@chancelight.com,(224) 475-3321,Incomplete Data,Options
Ombudsman - Chicago South,High School,"6057 S Western Ave, Chicago, IL, 60636",Jaciel Henry,jaciel.henry@chancelight.com,(773) 498-5066,Emerging,Options
Ombudsman - Chicago West,High School,"2401 W Congress Pkwy, Chicago, IL, 60612","",,"",Incomplete Data,Options
Safe Achieve Academy Elementary School,Elementary School,"7877 S Coles Ave, Chicago, IL, 60649",Tomorrio Anderson,tomorrio.anderson@sesischools.com,"",Developing,Options
Safe Achieve Academy High School,High School,"7877 S Coles Ave, Chicago, IL, 60649",Terrence Sirleaf,terrence.sirleaf@sesischools.com,"",Developing,Options
Edward E Sadlowski Elementary School,Elementary School,"3930 E 105th Chicago, Chicago, IL, 60617",Brian Burke,bjburke@cps.edu,(815) 823-7774,Excelling,Network 13
Walter Henri Dyett High School for the Arts,High School,"555 E 51st, Chicago, IL, 60615",Da'Sean Wilson,dwilson143@cps.edu,"",Excelling,Network 17
Robert J Richardson Middle School,Middle School,"6018 S Karlov, Chicago, IL, 60629",Julia Vazquez,jvazquez3@cps.edu,(773) 490-2815,Developing,Network 10
Sor Juana Ines de la Cruz ES,Elementary School,"4120 W 57th, Chicago, IL, 60629",Leah Stephens,lastephens1@cps.edu,(773) 535-8280,Excelling,Network 8
Bronzeville Classical Elementary School,Elementary School,"8 W Root , Chicago, IL, 60609",Reginald Spears,rdspears@cps.edu,"",Excelling,Network 9
Jesse Owens Elementary Community Academy,Elementary School,"12302 S State St, Chicago, IL, 60628",Ayonna Patterson,ampatterson5@cps.edu,"",Developing,Network 13
Englewood STEM High School,High School,"6835 S Normal, Chicago, IL, 60621","",,"",Incomplete Data,Network 16
Art in Motion Charter School,Middle School,"7415 S East End, Chicago, IL, 60649",Venise Keys,vkeys@distinctiveschools.org,(773) 820-9426,Excelling,Charter
Ombudsman Chicago - Roseland HS,High School,"10928 S Halsted, Chicago, IL, 60628",Shaundra Harris,shaundra.harris@chancelight.com,(773) 941-6674,Emerging,Options
Pathways in Education - Humboldt Park HS,High School,"2421 W Division, Chicago, IL, 60622",Gina Singleton,ginasingleton@pathwaysedu.org,(224) 261-6862,Incomplete Data,Options
CPS Department of Arts Education (DAE),Combination,"42 W. Madison St., Chicago, IL, 60602","",,"","",
The Virtual Academy Elementary School,Elementary School,"1326 W 14th, Chicago, IL, 60608",Tyler Sandquist,tgsandquist@cps.edu,(773) 553-2020,Excelling,ISP
The Virtual Academy High School,High School,"1326 W 14TH , Chicago , IL , 60608",Erica Desaulniers,ejdesaulniers@cps.edu,(773) 553-2020,Strong,ISP
Ingenuity,Combination,"440 N Wells, Chicago, IL, 60654","",,"","",Network 2
Dr. Fisher Early Learning Center,Elementary School,"1840 N. Clark Street, Chicago, IL, 60614","",,"",Strong,Network 4
Catalpa Early Childhood Center,Elementary School,"4434 N. Laramie Ave, Chicago, IL, 60630","",,"",Strong,Network 1
